exposure_id,entity_id,ticker,market_id,submarket,exposure_type,exposure_weight,weight_basis,source,as_of_date,confidence_score,notes
EXP0001,ENT000160,AMAT,MKT0001,DRAM equipment customer exposure,task3_multi_market_estimate,0.25,Text-supported estimate from Task 3 memory-equipment assignment notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.75,Task 3 assigns AMAT to memory as an upstream equipment provider tied to advanced DRAM and memory node transitions; weight captures memory-specific demand within broader semiconductor equipment exposure.
EXP0002,ENT000160,AMAT,MKT0002,deposition; etch; CMP,task3_multi_market_estimate,0.75,Text-supported estimate from Task 3 focal equipment assignment notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.75,Task 3 assigns AMAT as a core semiconductor equipment provider across deposition etch CMP ion implant and inspection/metrology; this broader tool-market role receives the majority weight.
EXP0003,ENT000263,ASML,MKT0001,lithography sold to memory manufacturers,task3_multi_market_estimate,0.25,Text-supported estimate from Task 3 memory-equipment assignment notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.75,Task 3 notes lithography systems sold to memory manufacturers including SK Hynix and Micron; memory exposure is meaningful but only part of ASML demand.
EXP0004,ENT000263,ASML,MKT0002,lithography,task3_multi_market_estimate,0.75,Text-supported estimate from Task 3 focal equipment assignment notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.75,Task 3 identifies ASML as a core EUV and DUV lithography supplier for semiconductor manufacturing, so MKT0002 receives the larger share.
EXP0005,ENT001993,KLAC,MKT0001,inspection and metrology for NAND HBM and packaging,task3_multi_market_estimate,0.25,Text-supported estimate from Task 3 memory-equipment assignment notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.75,Task 3 ties KLAC process control demand to 3D NAND HBM and advanced packaging; memory is a material customer segment but not the whole company.
EXP0006,ENT001993,KLAC,MKT0002,inspection; metrology,task3_multi_market_estimate,0.75,Text-supported estimate from Task 3 focal equipment assignment notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.75,Task 3 assigns KLAC as a core process control and yield management equipment supplier across semiconductor manufacturing.
EXP0007,ENT001996,KLIC,MKT0001,DRAM and NAND assembly equipment,task3_multi_market_estimate,0.30,Text-supported estimate from Task 3 memory-equipment assignment notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.75,Task 3 identifies DRAM ball bonding and NAND wire bonding leadership, so memory-related exposure is somewhat higher than for broad wafer-fab tool makers.
EXP0008,ENT001996,KLIC,MKT0002,assembly; packaging,task3_multi_market_estimate,0.70,Text-supported estimate from Task 3 focal equipment assignment notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.75,Task 3 identifies semiconductor assembly technology and advanced packaging equipment, making MKT0002 the primary market exposure.
EXP0009,ENT000587,BOVESPA:GGBR4,MKT0005,hot-rolled coil; plate,task3_multi_market_estimate,0.25,Text-supported estimate from Task 3 steel product mix notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.75,Task 3 says flat steel products are a smaller part of a broader long and special steel portfolio, so flat-rolled exposure is minority-weighted.
EXP0010,ENT000587,BOVESPA:GGBR4,MKT0006,rebar; structural; wire rod,task3_multi_market_estimate,0.75,Text-supported estimate from Task 3 steel product mix notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.75,Task 3 identifies long steel as majority revenue including rebar structural shapes bars and wire rod, so MKT0006 receives the larger weight.
