assignment_id,entity_id,ticker,market_id,submarket,value_chain_role,assignment_type,relevance_tier,source,as_of_date,confidence_score,notes
ASG000001,ENT002034,KOSE:A000660,MKT0001,HBM,manufacturer,focal_market_member,core,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.94,Company text identifies a memory semiconductor company and HBM leadership
ASG000002,ENT002529,MU,MKT0001,DRAM; NAND; NOR,manufacturer,focal_market_member,core,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.95,"Company text identifies memory and storage semiconductor solutions manufacturing DRAM, NAND flash, and NOR flash"
ASG000003,ENT003975,TSE:285A,MKT0001,NAND,manufacturer,focal_market_member,core,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.93,Company text identifies a NAND flash memory manufacturer
ASG000004,ENT004295,TWSE:2408,MKT0001,DRAM,manufacturer,focal_market_member,core,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.91,Company text identifies specialty DRAM manufacturing and niche memory products
ASG000005,ENT003214,RMBS,MKT0001,memory interface,component_supplier,upstream_participant,important,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.78,Company text identifies memory interface chips and HBM/GDDR IP; not a memory manufacturer
ASG000006,ENT003533,SIMO,MKT0001,NAND controller,component_supplier,upstream_participant,important,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.78,Company text identifies NAND flash controllers for solid-state storage; upstream to memory/storage ecosystem
ASG000007,ENT000160,AMAT,MKT0001,DRAM,equipment_provider,upstream_participant,important,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.84,Company text ties wafer fab equipment demand to advanced DRAM and memory node transitions
ASG000008,ENT000263,ASML,MKT0001,lithography,equipment_provider,upstream_participant,important,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.82,Company text identifies lithography systems sold to memory manufacturers including SK Hynix and Micron
ASG000009,ENT001993,KLAC,MKT0001,inspection; metrology,equipment_provider,upstream_participant,important,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.83,"Company text ties process control demand to 3D NAND, HBM, and advanced packaging"
ASG000010,ENT001996,KLIC,MKT0001,assembly equipment,equipment_provider,upstream_participant,important,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.83,Company text identifies DRAM ball bonding and NAND wire bonding equipment leadership
ASG000011,ENT002041,KOSE:A005930,MKT0001,DRAM; NAND; HBM,manufacturer,focal_market_member,important,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.78,"Diversified electronics company; memory segment lists DRAM, NAND, and HBM but non-memory exposure is material"
ASG000012,ENT003587,SNDK,MKT0001,NAND,manufacturer,focal_market_member,important,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.74,"Company text identifies NAND flash manufacturing through Kioxia JV, but exposure includes finished storage devices; human review useful"
ASG000013,ENT001843,IMOS,MKT0001,OSAT,service_provider,upstream_participant,important,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.84,Company text identifies memory chip testing and packaging for DRAM and flash
ASG000014,ENT004314,TWSE:6239,MKT0001,OSAT,service_provider,upstream_participant,important,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.85,Company text identifies memory IC packaging and testing with DRAM and NAND exposure
ASG000015,ENT000037,ACLS,MKT0002,ion implantation,equipment_provider,focal_market_member,core,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.91,Company text identifies ion implantation equipment for semiconductor fabrication
ASG000016,ENT000039,ACMR,MKT0002,cleaning; electroplating,equipment_provider,focal_market_member,core,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.89,"Company text identifies wafer processing tools for cleaning, electroplating, furnace, track, and advanced packaging"
ASG000017,ENT000071,AEHR,MKT0002,test,equipment_provider,focal_market_member,core,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.88,Company text identifies semiconductor test and burn-in equipment
ASG000018,ENT000160,AMAT,MKT0002,deposition; etch; CMP,equipment_provider,focal_market_member,core,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.94,"Company text identifies semiconductor systems for deposition, etch, CMP, ion implant, and inspection/metrology"
ASG000019,ENT000263,ASML,MKT0002,lithography,equipment_provider,focal_market_member,core,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.95,Company text identifies EUV and DUV lithography systems for semiconductor manufacturing
ASG000020,ENT000679,CAMT,MKT0002,inspection; metrology,equipment_provider,focal_market_member,core,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.90,Company text identifies inspection and metrology equipment for semiconductor industry
ASG000021,ENT000841,COHU,MKT0002,test; inspection,equipment_provider,focal_market_member,core,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.88,"Company text identifies semiconductor test equipment, handlers, ATE, inspection, and metrology systems"
ASG000022,ENT001463,FORM,MKT0002,test; metrology,equipment_provider,focal_market_member,core,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.89,Company text identifies wafer probe cards and metrology/inspection systems used during semiconductor manufacturing
ASG000023,ENT001993,KLAC,MKT0002,inspection; metrology,equipment_provider,focal_market_member,core,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.94,Company text identifies process control and yield management equipment for semiconductor manufacturing
ASG000024,ENT001996,KLIC,MKT0002,assembly; packaging,equipment_provider,focal_market_member,core,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.88,Company text identifies semiconductor assembly technology and advanced packaging equipment
ASG000025,ENT002199,LRCX,MKT0002,etch; deposition; clean,equipment_provider,focal_market_member,core,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.94,"Company text identifies wafer fabrication equipment for etch, deposition, and clean systems"
ASG000026,ENT002740,NVMI,MKT0002,metrology,equipment_provider,focal_market_member,core,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.90,Company text identifies metrology and process control solutions for semiconductor manufacturing
ASG000027,ENT002887,ONTO,MKT0002,inspection; metrology; lithography,equipment_provider,focal_market_member,core,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.90,"Company text identifies metrology, inspection, and lithography solutions across the semiconductor value chain"
ASG000028,ENT003866,TER,MKT0002,test,equipment_provider,focal_market_member,core,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.87,Company text identifies automated test equipment for semiconductors; robotics exposure is non-core
ASG000029,ENT004394,VECO,MKT0002,annealing; deposition; lithography,equipment_provider,focal_market_member,core,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.88,"Company text identifies semiconductor process equipment including laser annealing, ion beam deposition, MOCVD, wet processing, and packaging lithography"
ASG000030,ENT000073,AEIS,MKT0002,power subsystems,component_supplier,upstream_participant,important,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.80,Company text identifies RF and DC power supplies for semiconductor etch and deposition; supplier to equipment OEMs
ASG000031,ENT001805,ICHR,MKT0002,fluid delivery subsystems,component_supplier,upstream_participant,important,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.82,Company text identifies critical fluid delivery subsystems and precision components for semiconductor capital equipment
ASG000032,ENT002451,MKSI,MKT0002,vacuum; gas delivery,component_supplier,upstream_participant,important,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.82,"Company text identifies vacuum, gas delivery, plasma, optical metrology, and photonics subsystems for semiconductor manufacturing"
ASG000033,ENT004329,UCTT,MKT0002,equipment components,component_supplier,upstream_participant,important,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.80,Company text identifies outsourced components tied to wafer fab equipment spending; upstream to tool OEMs
ASG000034,ENT000882,CPSE:MAERSK B,MKT0003,liner operator,transport_operator,focal_market_member,core,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.93,Company text identifies one of the world largest container shipping lines operating vessels and logistics
ASG000035,ENT001332,ESEA,MKT0003,liner operator,transport_operator,focal_market_member,core,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.86,Company text identifies a container shipping company focused on feeder and intermediate containerships
ASG000036,ENT002374,MATX,MKT0003,liner operator,transport_operator,focal_market_member,core,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.84,"Company text identifies ocean transportation services including containerized freight on Hawaii, Alaska, Guam, and China routes; logistics exposure also present"
ASG000037,ENT003492,SHSE:601919,MKT0003,liner operator,transport_operator,focal_market_member,core,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.92,Company text identifies a major container shipping company by capacity with vessel and port-terminal operations
ASG000038,ENT004701,ZIM,MKT0003,liner operator,transport_operator,focal_market_member,core,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.90,Company text identifies container line services and direct shippers/freight-forwarder customers
ASG000039,ENT000877,CPSE:DSV,MKT0003,freight forwarding,distributor,downstream_participant,important,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.82,"Company text identifies largest freight forwarder following DB Schenker acquisition; downstream intermediary, not vessel operator"
ASG000040,ENT001010,DB:DHL,MKT0003,freight forwarding,distributor,downstream_participant,important,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.82,"Company text identifies global freight forwarding and supply chain logistics; downstream intermediary, not vessel operator"
ASG000041,ENT001376,EXPD,MKT0003,freight forwarding,distributor,downstream_participant,important,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.82,Company text identifies global freight forwarding with air/ocean freight consolidation and customs brokerage
ASG000042,ENT000812,CMRE,MKT0003,container vessel owner/lessor,equipment_provider,upstream_participant,important,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.78,Company text identifies containership owner with container vessels; upstream vessel capacity rather than liner service
ASG000043,ENT000998,DAC,MKT0003,container vessel owner/lessor,equipment_provider,upstream_participant,important,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.78,Company text identifies container vessel chartering as majority revenue; not a direct liner operator
ASG000044,ENT001638,GSL,MKT0003,container vessel owner/lessor,equipment_provider,upstream_participant,important,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.78,Company text identifies containership owner and lessor; not a direct liner operator
ASG000045,ENT000763,CHRW,MKT0003,freight forwarding,distributor,downstream_participant,adjacent,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.78,"Company text identifies ocean freight and freight forwarding; downstream intermediary, not vessel operator"
ASG000046,ENT000904,CRGO,MKT0003,freight forwarding,distributor,downstream_participant,adjacent,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.74,Company text identifies digital booking platform for international container shipping and Freightos Baltic Index; adjacent channel role
ASG000047,ENT001277,ENXTPA:ML,MKT0004,passenger; truck; specialty,manufacturer,focal_market_member,core,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.93,"Company text identifies Michelin as a major tire manufacturer with automotive, road transportation, and specialties segments"
ASG000048,ENT001640,GT,MKT0004,passenger; truck; industrial,manufacturer,focal_market_member,core,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.92,"Company text identifies Goodyear as a tire manufacturer producing tires for automobiles, trucks, buses, aircraft, and industrial equipment"
ASG000049,ENT002063,KOSE:A073240,MKT0004,passenger; truck,manufacturer,focal_market_member,core,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.90,Company text identifies Kumho Tire as a tire manufacturer
