value_chain_link_id,market_id,role_category,role_description,direction,related_role_category,relationship_type,relationship_description,source,as_of_date,confidence_score,notes
VCL0001,MKT0001,manufacturer,"Memory chip manufacturer producing DRAM, NAND, NOR, or high-bandwidth memory components",focal,enterprise_customer,defines_market,"Defines the focal market by selling memory components to device, server, storage, and electronics customers","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.88,"Use for focal memory producers; diversified chipmakers may also need non-memory assignments later"
VCL0002,MKT0001,equipment_provider,"Semiconductor fabrication and test equipment provider serving memory fabs",upstream,manufacturer,supplies_input_to,"Provides production equipment needed for memory capacity additions and node transitions","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.86,"Overlaps with MKT0002 as a separate focal equipment market"
VCL0003,MKT0001,component_supplier,"Specialty materials, wafers, gases, and process consumables used in memory manufacturing",upstream,manufacturer,supplies_input_to,"Supplies materials and consumables required for memory chip fabrication","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.78,"Materials suppliers should not be treated as memory manufacturers"
VCL0004,MKT0001,service_provider,"Electronic design automation, IP, outsourced assembly, and testing services supporting memory products",upstream,manufacturer,supplies_service_to,"Provides design, packaging, assembly, or testing support around memory production","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.76,"Use only when services are materially tied to memory products"
VCL0005,MKT0001,enterprise_customer,"Data center, server, PC, smartphone, automotive, and electronics manufacturers buying memory components",downstream,manufacturer,buys_from,"Purchases memory components as inputs into computing, storage, handset, automotive, and electronics products","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.84,"Customers are demand drivers, not focal market members"
VCL0006,MKT0001,distributor,"Electronics distributors and channel partners reselling memory components",downstream,manufacturer,distributes_for,"Connects memory manufacturers with smaller OEMs, contract manufacturers, and aftermarket buyers","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.72,"Distributor role should be separate from manufacturing role"
VCL0007,MKT0001,substitute_provider,"Storage, alternative memory, and system architecture providers that can reduce memory demand intensity",substitute,manufacturer,substitutes_for,"Provides partial substitutes or demand-reducing alternatives to memory components","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.70,"Substitutes are economic alternatives, not upstream suppliers"
VCL0008,MKT0002,equipment_provider,"Semiconductor manufacturing equipment maker selling process, inspection, lithography, test, or packaging tools",focal,manufacturer,defines_market,"Defines the focal market by selling capital equipment used to manufacture semiconductors","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.90,"Use for equipment and tool vendors, not semiconductor device makers"
VCL0009,MKT0002,component_supplier,"Precision components, subsystems, lasers, optics, vacuum, motion control, and specialty parts used in semiconductor tools",upstream,equipment_provider,supplies_input_to,"Supplies specialized components and subsystems used by equipment manufacturers","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.82,"Some component suppliers may serve many industrial markets"
VCL0010,MKT0002,raw_material_supplier,"Metals, ceramics, specialty materials, and gases used in equipment construction and operation",upstream,equipment_provider,supplies_input_to,"Provides raw and specialty materials required to build or operate semiconductor equipment","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.70,"Keep broad materials suppliers separate unless semiconductor equipment exposure is material"
VCL0011,MKT0002,service_provider,"Installation, maintenance, field service, process support, and software services for semiconductor tools",upstream,equipment_provider,supplies_service_to,"Provides specialized support services that help equipment providers install, maintain, and optimize semiconductor tools","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.78,"Can be internal to equipment manufacturers or provided by specialized service firms"
VCL0012,MKT0002,enterprise_customer,"Semiconductor fabs, foundries, memory manufacturers, and integrated device manufacturers buying production tools",downstream,equipment_provider,buys_from,"Purchases manufacturing equipment for fab capacity, node migration, and process improvement","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.88,"Customer role includes memory, logic, analog, and foundry operators"
VCL0013,MKT0002,regulator_or_policy_body,"Export-control, industrial-policy, and national-security authorities affecting semiconductor equipment trade",policy,equipment_provider,regulates,"Shapes where advanced equipment can be sold and which customers can access leading tools","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.80,"Policy role is material because export restrictions can reshape demand"
VCL0014,MKT0002,substitute_provider,"Used equipment, process redesign, outsourcing, or lower-capex production alternatives",substitute,equipment_provider,substitutes_for,"Can delay, reduce, or replace new equipment purchases in some customer situations","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.68,"Substitute relationship is partial and cycle-dependent"
VCL0015,MKT0003,transport_operator,"Ocean container liner operator providing scheduled containerized freight capacity",focal,enterprise_customer,defines_market,"Defines the focal market by operating vessels and selling container freight capacity","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.88,"Do not include bulk or tanker operators unless container liner exposure is material"
VCL0016,MKT0003,equipment_provider,"Container shipbuilders, container lessors, vessel equipment suppliers, and port handling equipment providers",upstream,transport_operator,supplies_input_to,"Provides vessels, boxes, and physical equipment needed to operate container shipping networks","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.78,"Shipbuilding and container leasing are upstream roles, not focal liner operation"
VCL0017,MKT0003,service_provider,"Port terminal operators, bunker fuel providers, crewing, maintenance, insurance, and maritime services",upstream,transport_operator,supplies_service_to,"Provides operating services and infrastructure support for liner networks","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.80,"Terminal operators may also be downstream bottlenecks depending on market context"
VCL0018,MKT0003,distributor,"Freight forwarders, non-vessel-operating common carriers, and logistics intermediaries buying or reselling container capacity",downstream,transport_operator,distributes_for,"Aggregates shipper demand and channels freight volumes onto liner networks","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.82,"Forwarders are not focal operators unless they operate vessels"
VCL0019,MKT0003,enterprise_customer,"Retailers, manufacturers, wholesalers, and importers/exporters shipping containerized goods",downstream,transport_operator,buys_from,"Purchases container shipping capacity to move traded goods through global supply chains","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.86,"Demand tied to goods trade, inventory cycles, and route balance"
