entity_id,ticker,market_id,market_name,submarket,value_chain_role,assignment_type,relevance_tier,exposure_weight,exposure_type,weight_basis,rev_q0,rev_q1,rev_q2,rev_q3,rev_q4,rev_q5,rev_q6,rev_q7,rev_q8,rev_q9,rev_q10,rev_q11,source,as_of_date,confidence_score,notes
ENT000160,AMAT,MKT0001,Memory Semiconductors,DRAM,equipment_provider,upstream_participant,important,0.25,task3_multi_market_estimate,Text-supported estimate from Task 3 memory-equipment assignment notes,7012.0,6800.0,7302.0,7100.0,7166.0,7045.0,6778.0,6646.0,6707.0,6723.0,6425.0,6630.0,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.84,Company text ties wafer fab equipment demand to advanced DRAM and memory node transitions
ENT000263,ASML,MKT0001,Memory Semiconductors,lithography,equipment_provider,upstream_participant,important,0.25,task3_multi_market_estimate,Text-supported estimate from Task 3 memory-equipment assignment notes,11410.23835,8788.58747,8788.58747,9011.95079,8385.50693,9589.81261,8336.83153,6688.95318,5707.19603,7999.33679,7062.87045,7535.26201,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.82,Company text identifies lithography systems sold to memory manufacturers including SK Hynix and Micron
ENT001843,IMOS,MKT0001,Memory Semiconductors,OSAT,service_provider,upstream_participant,important,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,207.66435,201.537,196.13726,166.26591,164.72199,191.05346,178.8327,169.47781,186.87293,173.44801,174.6647,150.95831,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.84,Company text identifies memory chip testing and packaging for DRAM and flash
ENT001993,KLAC,MKT0001,Memory Semiconductors,inspection; metrology,equipment_provider,upstream_participant,important,0.25,task3_multi_market_estimate,Text-supported estimate from Task 3 memory-equipment assignment notes,3297.146,3209.696,3174.741,3063.029,3076.851,2841.541,2568.735,2359.83,2486.726,2396.956,2355.137,2432.608,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.83,"Company text ties process control demand to 3D NAND, HBM, and advanced packaging"
ENT001996,KLIC,MKT0001,Memory Semiconductors,assembly equipment,equipment_provider,upstream_participant,important,0.3,task3_multi_market_estimate,Text-supported estimate from Task 3 memory-equipment assignment notes,199.625,177.558,148.413,161.986,166.124,181.319,181.65,172.074,171.189,202.32,190.917,173.021,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.83,Company text identifies DRAM ball bonding and NAND wire bonding equipment leadership
ENT002034,KOSE:A000660,MKT0001,Memory Semiconductors,HBM,manufacturer,focal_market_member,core,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,22740.69669,17403.84786,16426.98925,11977.66467,13380.9583,13379.73056,11918.17768,9248.62771,8718.2741,6734.787,5547.0654,3902.31656,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.94,Company text identifies a memory semiconductor company and HBM leadership
ENT002041,KOSE:A005930,MKT0001,Memory Semiconductors,DRAM; NAND; HBM,manufacturer,focal_market_member,important,0.35,single_market_with_out_of_scope_estimate,Text-supported estimate from Task 3 diversified memory-company notes,64984.15736,61262.62429,55096.38053,53739.48802,51301.57184,60223.95451,53750.55201,53511.03231,52265.27553,50071.41093,45559.50096,48889.3848,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.78,"Diversified electronics company; memory segment lists DRAM, NAND, and HBM but non-memory exposure is material"
ENT002529,MU,MKT0001,Memory Semiconductors,DRAM; NAND; NOR,manufacturer,focal_market_member,core,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,23860.0,13643.0,11315.0,9301.0,8053.0,8709.0,7750.0,6811.0,5824.0,4726.0,4010.0,3752.0,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.95,"Company text identifies memory and storage semiconductor solutions manufacturing DRAM, NAND flash, and NOR flash"
ENT003214,RMBS,MKT0001,Memory Semiconductors,memory interface,component_supplier,upstream_participant,important,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,190.244,178.513,172.209,166.664,161.102,145.513,132.138,117.871,122.225,105.298,119.832,113.762,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.78,Company text identifies memory interface chips and HBM/GDDR IP; not a memory manufacturer
ENT003533,SIMO,MKT0001,Memory Semiconductors,NAND controller,component_supplier,upstream_participant,important,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,278.461,241.999,198.675,166.492,191.16,212.412,210.67,189.311,202.379,172.333,140.361,124.069,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.78,Company text identifies NAND flash controllers for solid-state storage; upstream to memory/storage ecosystem
